Hora,Temperatura_C,Radiancia_W_m2,Temperatura_celula_C,Potencia_W
11,"34,7","816,11764","60,20367625","2670,154069"
12,37,"938,61862","66,33183188","3070,602368"
13,"36,1","752,22824","59,6071325","2461,149373"
14,"35,4","693,0611","57,05815938","2267,67233"
15,"36,6","507,78184","52,4681825","1661,585688"
16,"35,1","171,501372","40,45941788","561,3186128"
17,"34,4","58,75047","36,23595219","192,3034349"
18,"33,1","22,4529574","33,80165492","73,49685554"
19,"31,9",0,"31,9",0
20,"31,9",0,"31,9",0
21,"29,4",0,"29,4",0
22,"28,6",0,"28,6",0
23,"28,5",0,"28,5",0
24,"28,3",0,"28,3",0
1,"27,2",0,"27,2",0
2,28,0,28,0
3,"26,8",0,"26,8",0
4,"26,7",0,"26,7",0
5,"27,8",0,"27,8",0
6,"27,4",0,"27,4",0
7,"26,1","24,5307518","26,86658599","80,30852368"
8,"28,1","74,639486","30,43248394","244,3379061"
9,"28,3","90,55628","31,12988375","296,4388996"
10,"29,8","179,72366","35,41636438","588,2846539"
11,"32,8","388,33644","44,93551375","1270,90799"
12,"36,9","1002,7858","68,23705625","3280,403841"
13,"36,9","969,17442","67,18670063","3170,51274"
14,"36,2","696,67224","57,9710075","2279,449441"
15,"35,7","404,1699","48,33030938","1322,643244"
16,35,"337,5027","45,54695938","1104,532032"
17,"35,2","184,557032","40,96740725","604,0437153"
18,"33,1","63,444952","35,08265475","207,673945"
19,"31,2",0,"31,2",0
20,"30,2",0,"30,2",0
21,"28,9",0,"28,9",0
22,"28,1",0,"28,1",0
23,"27,3",0,"27,3",0
24,"26,7",0,"26,7",0
1,26,0,26,0
2,"25,6",0,"25,6",0
3,"26,9",0,"26,9",0
4,"28,3",0,"28,3",0
5,"28,8",0,"28,8",0
6,"28,4",0,"28,4",0
7,"29,3","48,972614","30,83039419","160,3143154"
8,"30,4","127,473242","34,38353881","417,2627098"
9,"31,9","518,33748","48,09804625","1696,263144"
10,33,"705,28342","55,04010688","2307,749322"
11,"34,5","913,06286","63,03321438","2987,181044"
12,"36,9","957,50766","66,82211438","3132,367724"
13,"36,8","827,50662","62,65958188","2707,293496"
14,37,"661,39418","57,66856813","2164,034858"
15,"35,9","498,6151","51,48172188","1631,619597"
16,"37,5","385,00308","49,53134625","1259,892024"
17,"36,7","225,890696","43,75908425","739,2881396"
18,"33,9","78,000624","36,3375195","255,313018"
19,"31,7",0,"31,7",0
20,"31,2",0,"31,2",0
21,"31,1",0,"31,1",0
22,"30,3",0,"30,3",0
23,30,0,30,0
24,"29,9",0,"29,9",0
1,"30,2",0,"30,2",0
2,"31,3",0,"31,3",0
3,"29,9",0,"29,9",0
4,"29,2",0,"29,2",0
5,"29,4",0,"29,4",0
6,"28,5",0,"28,5",0
7,29,"53,47265","30,67102031","175,0459244"
8,"29,9","132,028834","34,02590106","432,177544"
9,"30,9","268,418814","39,28808794","878,5453538"
10,"32,9","663,8942","53,64669375","2172,376039"
11,"34,9","521,11528","51,1848525","1705,256345"
12,"34,5","552,22664","51,7570825","1807,043605"
13,"37,1","795,8397","61,96999063","2603,724278"
14,"37,8","520,55972","54,06749125","1703,347729"
15,"37,1","310,55804","46,80493875","1016,327686"
16,"37,8","435,55904","51,41122","1425,282929"
17,"35,5","253,502028","43,42193838","829,6588227"
18,"34,2","51,722636","35,81633238","169,3010727"
19,"32,2",0,"32,2",0
20,"30,5",0,"30,5",0
21,"29,7",0,"29,7",0
22,29,0,29,0
23,"28,5",0,"28,5",0
24,"29,2",0,"29,2",0
1,28,0,28,0
2,"28,7",0,"28,7",0
3,"29,7",0,"29,7",0
4,"29,3",0,"29,3",0
5,"28,9",0,"28,9",0
6,"28,4",0,"28,4",0
7,29,"29,500236","29,92188238","96,5721255"
8,"30,8","111,80645","34,29395156","365,9806458"
9,32,"557,22668","49,41333375","1823,484059"
10,"33,2","742,50594","56,40331063","2429,483535"
11,"36,7","892,22936","64,5821675","2918,938577"
12,"37,1","954,72986","66,93530813","3123,273968"
13,"36,8","913,06286","65,33321438","2987,054187"
14,"38,5","815,00652","63,96895375","2666,33336"
15,"38,8","712,5057","61,06580313","2331,121909"
